fighter1,fighter2,odds1,odds2,winner,score,time,date,class
Peatrowsky M.,Phathaem K.,,,PTS,PTS,23:45,17 Aug 2018,lightweight-bellator-men
Morris W.,Williams C.,1.12,5.25,Morris W.,PTS,22:30,13 Jul 2018,lightweight-bellator-men
Kozola S.,Walker R.,1.5,2.4,Kozola S.,TKO,21:00,13 Jul 2018,lightweight-bellator-men
Rosales J.,Jones J.,,,PTS,PTS,03:30,30 Jun 2018,lightweight-bellator-men
Leary C.,Green T.,,,TKO,TKO,20:00,25 May 2018,lightweight-bellator-men
Banks C.,Piccolotti A.,,,SUBM,SUBM,04:00,13 May 2018,lightweight-bellator-men
Bennett J.,Stusse D.,,,TKO,TKO,22:00,28 Apr 2018,lightweight-bellator-men
Chandler M.,Girtz B.,1.11,6.45,Chandler M.,SUBM,01:00,14 Apr 2018,lightweight-bellator-men
Henderson B.,Huerta R.,1.09,6.0,Henderson B.,SUBM,20:00,06 Apr 2018,lightweight-bellator-men
Freire P.,Campos D.,1.46,2.7,Freire P.,TKO,02:00,17 Feb 2018,lightweight-bellator-men
Richardson R.,Leon R. A.,,,TKO,TKO,02:00,17 Feb 2018,lightweight-bellator-men
Awad S.,Ambrose J. J.,1.41,2.79,Awad S.,PTS,02:00,27 Jan 2018,lightweight-bellator-men
Padilla C.,Green G.,,,SUBM,SUBM,03:00,21 Jan 2018,lightweight-bellator-men
Chandler M.,Yamauchi G.,1.39,2.93,Chandler M.,PTS,02:00,21 Jan 2018,lightweight-bellator-men
Henderson B.,Chandler M.,,,canc.,canc.,12:00,29 Dec 2019,lightweight-bellator-men
Uesako H.,Yachi Y.,,,TKO,TKO,06:00,29 Dec 2019,lightweight-bellator-men
Yamauchi G.,Cruickshank D.,1.21,4.4,Yamauchi G.,SUBM,03:00,29 Dec 2019,lightweight-bellator-men
Dung N.,Zane Z.,,,PTS,PTS,03:00,22 Dec 2019,lightweight-bellator-men
Brazier T.,Bak S.,2.02,1.79,Bak S.,PTS,22:00,23 Nov 2019,lightweight-bellator-men
Bungard C.,Brander B.,,,SUBM,SUBM,17:45,23 Nov 2019,lightweight-bellator-men
Wilde T.,Leary C.,1.73,2.04,Wilde T.,PTS,16:45,23 Nov 2019,lightweight-bellator-men
Huerta R.,Outlaw S.,4.65,1.18,Outlaw S.,PTS,20:30,14 Nov 2019,lightweight-bellator-men
Newell N.,Muro M.,,,PTS,PTS,03:30,27 Oct 2019,lightweight-bellator-men
Surin M.,Powell D.,,,SUBM,SUBM,01:45,27 Oct 2019,lightweight-bellator-men
Nallo M.,Mota K.,,,TKO,TKO,00:00,26 Oct 2019,lightweight-bellator-men
Mousah K.,Macedo da Silva R.,,,PTS,PTS,20:00,12 Oct 2019,lightweight-bellator-men
Tokov V.,Hastings B.,,,PTS,PTS,03:45,05 Oct 2019,lightweight-bellator-men
Awad S.,Yamauchi G.,4.35,1.22,Yamauchi G.,SUBM,02:00,05 Oct 2019,lightweight-bellator-men
Jones J.,Clark D.,,,SUBM,SUBM,01:15,29 Sep 2019,lightweight-bellator-men
Henderson B.,Jury M.,,,PTS,PTS,03:00,28 Sep 2019,lightweight-bellator-men
Scope R.,Queally P.,1.39,2.98,Queally P.,TKO,21:05,27 Sep 2019,lightweight-bellator-men
Piccolotti A.,Smith J.,,,SUBM,SUBM,00:40,08 Sep 2019,lightweight-bellator-men
Gozali A.,Muravitskiy E.,,,SUBM,SUBM,00:00,25 Aug 2019,lightweight-bellator-men
Newell N.,Browning C.,,,SUBM,SUBM,22:15,24 Aug 2019,lightweight-bellator-men
Agazarm A.,Landin J.,,,SUBM,SUBM,00:30,13 Jul 2019,lightweight-bellator-men
Varga G.,Taylor J.,,,TKO,TKO,23:40,12 Jul 2019,lightweight-bellator-men
Chalmers A.,Freeman F.,,,SUBM,SUBM,21:15,22 Jun 2019,lightweight-bellator-men
Brazier T.,Botti A.,,,SUBM,SUBM,16:00,22 Jun 2019,lightweight-bellator-men
Chandler M.,Freire P.,,,TKO,TKO,03:00,12 May 2019,lightweight-bellator-men
Primus B.,Wilde T.,1.2,4.33,Primus B.,SUBM,22:30,04 May 2019,lightweight-bellator-men
Henderson B.,Piccolotti A.,1.27,3.78,Henderson B.,PTS,02:30,28 Apr 2019,lightweight-bellator-men
Awad S.,Girtz B.,1.43,2.78,Girtz B.,PTS,02:30,30 Mar 2019,lightweight-bellator-men
Tokov V.,Walker R.,,,PTS,PTS,23:00,22 Mar 2019,lightweight-bellator-men
Queally P.,Price M.,1.22,4.0,Price M.,PTS,22:00,23 Feb 2019,lightweight-bellator-men
Freire P.,Scope R.,1.2,4.56,Freire P.,PTS,23:30,09 Feb 2019,lightweight-bellator-men
Brazier T.,Bungard C.,1.13,6.13,Bungard C.,SUBM,22:30,09 Feb 2019,lightweight-bellator-men
Campos D.,Diggs K.,2.01,1.8,Diggs K.,KO,02:00,13 Sep 2020,lightweight-bellator-men
Tokov V.,Gonzalez C.,,,PTS,PTS,01:00,22 Aug 2020,lightweight-bellator-men
Piccolotti A.,Outlaw S.,1.66,2.2,Outlaw S.,PTS,23:30,21 Aug 2020,lightweight-bellator-men
Chandler M.,Henderson B.,1.4,2.9,Chandler M.,KO,03:30,08 Aug 2020,lightweight-bellator-men
Dung N.,Campbell C.,,,TKO,TKO,23:45,07 Aug 2020,lightweight-bellator-men
Chandler M.,Henderson B.,,,canc.,canc.,21:00,06 Jun 2020,lightweight-bellator-men
Davis A.,Wilde T.,,,postp.,postp.,15:00,16 May 2020,lightweight-bellator-men
Outlaw S.,Piccolotti A.,,,canc.,canc.,21:00,09 May 2020,lightweight-bellator-men
Newell N.,Zane Z.,1.55,2.52,postp.,postp.,02:00,14 Mar 2020,lightweight-bellator-men
Mota K.,Andrews N.,,,postp.,postp.,00:15,14 Mar 2020,lightweight-bellator-men
Primus B.,Bungard C.,,,SUBM,SUBM,05:00,23 Feb 2020,lightweight-bellator-men
Chalmers A.,Clem A.,1.44,2.76,Clem A.,PTS,22:00,22 Feb 2020,lightweight-bellator-men
Mulpeter P.,Crawford D.,,,canc.,canc.,20:00,22 Feb 2020,lightweight-bellator-men
Taylor A.,Avila C.,,,PTS,PTS,02:15,26 Jan 2020,lightweight-bellator-men
Seixas R.,Clark D.,1.67,2.23,Seixas R.,KO,00:45,26 Jan 2020,lightweight-bellator-men
Dos Anjos R.,Cerrone D.,1.52,2.57,Dos Anjos R.,TKO,01:00,20 Dec 2015,lightweight-ufc-men
Lentz N.,Castillo D.,1.8,2.04,Lentz N.,PTS,22:00,19 Dec 2015,lightweight-ufc-men
Santos L.,Lee K.,5.35,1.17,Santos L.,TKO,01:00,13 Dec 2015,lightweight-ufc-men
Makdessi J.,Medeiros Y.,1.57,2.38,Medeiros Y.,PTS,23:00,12 Dec 2015,lightweight-ufc-men
Barboza E.,Ferguson T.,2.48,1.54,Ferguson T.,SUBM,23:00,11 Dec 2015,lightweight-ufc-men
Miller J.,Chiesa M.,2.13,1.71,Chiesa M.,TKO,03:00,11 Dec 2015,lightweight-ufc-men
Bang T. H.,Kuntz L.,4.23,1.22,Bang T. H.,PTS,10:00,28 Nov 2015,lightweight-ufc-men
Escudero E.,Silva L.,2.23,1.67,Silva L.,PTS,03:00,22 Nov 2015,lightweight-ufc-men
Lazaro V.,Prazeres M.,2.02,1.78,Prazeres M.,PTS,00:00,22 Nov 2015,lightweight-ufc-men
Matthews J.,Arreola A.,1.09,7.15,Matthews J.,TKO,01:00,15 Nov 2015,lightweight-ufc-men
Moontasri J.,Zafir A.,1.26,3.77,Moontasri J.,TKO,23:15,14 Nov 2015,lightweight-ufc-men
Burns G.,Magomedov R.,2.67,1.49,Magomedov R.,PTS,03:00,08 Nov 2015,lightweight-ufc-men
Cabral Y.,Case J.,3.08,1.37,Case J.,PTS,01:00,08 Nov 2015,lightweight-ufc-men
Parke N.,Madadi R.,1.44,2.74,Parke N.,PTS,20:00,24 Oct 2015,lightweight-ufc-men
Ray S.,Lebout M.,1.18,4.61,Ray S.,PTS,17:00,24 Oct 2015,lightweight-ufc-men
Martins A.,Makhachev I.,2.25,1.64,Martins A.,KO,23:00,03 Oct 2015,lightweight-ufc-men
Hein N.,Kasuya Y.,1.27,3.59,Hein N.,PTS,00:00,27 Sep 2015,lightweight-ufc-men
Pearson R.,Felder P.,4.28,1.21,Pearson R.,PTS,00:00,06 Sep 2015,lightweight-ufc-men
Laprise C.,Trinaldo F.,1.26,3.79,Trinaldo F.,TKO,01:00,24 Aug 2015,lightweight-ufc-men
Stout S.,Perez F.,2.06,1.72,Perez F.,TKO,23:00,23 Aug 2015,lightweight-ufc-men
Johnson M.,Dariush B.,1.6,2.3,Dariush B.,PTS,02:00,09 Aug 2015,lightweight-ufc-men
Franca G.,Bruno F.,1.54,2.46,Franca G.,TKO,02:00,02 Aug 2015,lightweight-ufc-men
Emmett J.,Holtzman S.,1.53,2.53,Emmett J.,PTS,23:00,17 Dec 2016,lightweight-ufc-men
Aubin-Mercier O.,Dober D.,1.56,2.41,Aubin-Mercier O.,SUBM,01:00,11 Dec 2016,lightweight-ufc-men
Makdessi J.,Vannata L.,2.61,1.49,Vannata L.,KO,23:30,10 Dec 2016,lightweight-ufc-men
Perez F.,Diakiese M.,3.3,1.33,Diakiese M.,PTS,22:30,09 Dec 2016,lightweight-ufc-men
Matthews J.,Holbrook A.,1.21,4.42,Holbrook A.,PTS,03:00,27 Nov 2016,lightweight-ufc-men
Pearson R.,Ray S.,1.91,1.89,Ray S.,PTS,21:00,19 Nov 2016,lightweight-ufc-men
Alvarez E.,McGregor C.,2.48,1.57,McGregor C.,TKO,06:20,13 Nov 2016,lightweight-ufc-men
Bravo M.,Puelles C.,1.86,1.94,Bravo M.,TKO,02:00,06 Nov 2016,lightweight-ufc-men
Dos Anjos R.,Ferguson T.,1.68,2.19,Ferguson T.,PTS,02:00,06 Nov 2016,lightweight-ufc-men
Reyes M. P.,Novelli J.,1.54,2.49,Reyes M. P.,PTS,22:30,05 Nov 2016,lightweight-ufc-men
Sajewski L.,Diakiese M.,3.37,1.32,Diakiese M.,TKO,22:30,08 Oct 2016,lightweight-ufc-men
Brooks W.,Oliveira A.,1.32,3.43,Oliveira A.,TKO,03:00,02 Oct 2016,lightweight-ufc-men
Burns G.,Prazeres M.,1.41,2.89,Prazeres M.,PTS,00:00,25 Sep 2016,lightweight-ufc-men
Franca G.,Gillespie G.,1.72,2.12,Gillespie G.,PTS,22:30,24 Sep 2016,lightweight-ufc-men
Dunham E.,Glenn R.,1.28,3.75,Dunham E.,PTS,02:00,18 Sep 2016,lightweight-ufc-men
Wade C.,Makhachev I.,2.1,1.72,Makhachev I.,PTS,02:00,18 Sep 2016,lightweight-ufc-men
Dober D.,Gonzalez J.,1.63,2.33,Dober D.,KO,00:00,11 Sep 2016,lightweight-ufc-men
Medeiros Y.,Spencer S.,1.73,2.11,Medeiros Y.,SUBM,23:00,10 Sep 2016,lightweight-ufc-men
Hein N.,Bang T. H.,1.31,3.56,Hein N.,PTS,19:00,03 Sep 2016,lightweight-ufc-men
Lauzon J.,Miller J.,1.68,2.22,Miller J.,PTS,00:00,28 Aug 2016,lightweight-ufc-men
Campbell S.,Silva F.,1.66,2.23,Silva F.,TKO,22:00,27 Aug 2016,lightweight-ufc-men
Laprise C.,Gouti T.,1.31,3.4,Laprise C.,TKO,21:00,27 Aug 2016,lightweight-ufc-men
Teymur D.,Novelli J.,1.72,2.12,Teymur D.,TKO,00:00,07 Aug 2016,lightweight-ufc-men
Arzamendia C.,Brown D.,1.97,1.83,Brown D.,KO,23:00,30 Jul 2016,lightweight-ufc-men
Barboza E.,Melendez G.,1.44,2.86,Barboza E.,PTS,00:00,24 Jul 2016,lightweight-ufc-men
Prazeres M.,Cottrell J.,1.42,2.87,Prazeres M.,PTS,22:00,23 Jul 2016,lightweight-ufc-men
Ferguson T.,Chiesa M.,,,canc.,canc.,01:00,14 Jul 2016,lightweight-ufc-men
Holtzman S.,Pfister C.,1.36,3.19,Holtzman S.,PTS,23:00,13 Jul 2016,lightweight-ufc-men
Northcutt S.,Marin E.,1.21,4.53,Northcutt S.,PTS,00:00,10 Jul 2016,lightweight-ufc-men
Gomi T.,Miller J.,3.29,1.34,Miller J.,TKO,22:30,09 Jul 2016,lightweight-ufc-men
Brooks W.,Pearson R.,1.27,3.94,Brooks W.,PTS,02:00,09 Jul 2016,lightweight-ufc-men
Matthews J.,Lee K.,1.64,2.3,Lee K.,KO,00:00,09 Jul 2016,lightweight-ufc-men
Dos Anjos R.,Alvarez E.,1.3,3.59,Alvarez E.,KO,02:00,08 Jul 2016,lightweight-ufc-men
Burns G.,Sajewski L.,1.37,3.15,Burns G.,SUBM,22:30,07 Jul 2016,lightweight-ufc-men
Emmett J.,Holtzman S.,1.53,2.53,Emmett J.,PTS,23:00,17 Dec 2016,lightweight-ufc-men
Aubin-Mercier O.,Dober D.,1.56,2.41,Aubin-Mercier O.,SUBM,01:00,11 Dec 2016,lightweight-ufc-men
Makdessi J.,Vannata L.,2.61,1.49,Vannata L.,KO,23:30,10 Dec 2016,lightweight-ufc-men
Perez F.,Diakiese M.,3.3,1.33,Diakiese M.,PTS,22:30,09 Dec 2016,lightweight-ufc-men
Matthews J.,Holbrook A.,1.21,4.42,Holbrook A.,PTS,03:00,27 Nov 2016,lightweight-ufc-men
Pearson R.,Ray S.,1.91,1.89,Ray S.,PTS,21:00,19 Nov 2016,lightweight-ufc-men
Alvarez E.,McGregor C.,2.48,1.57,McGregor C.,TKO,06:20,13 Nov 2016,lightweight-ufc-men
Bravo M.,Puelles C.,1.86,1.94,Bravo M.,TKO,02:00,06 Nov 2016,lightweight-ufc-men
Dos Anjos R.,Ferguson T.,1.68,2.19,Ferguson T.,PTS,02:00,06 Nov 2016,lightweight-ufc-men
Reyes M. P.,Novelli J.,1.54,2.49,Reyes M. P.,PTS,22:30,05 Nov 2016,lightweight-ufc-men
Sajewski L.,Diakiese M.,3.37,1.32,Diakiese M.,TKO,22:30,08 Oct 2016,lightweight-ufc-men
Brooks W.,Oliveira A.,1.32,3.43,Oliveira A.,TKO,03:00,02 Oct 2016,lightweight-ufc-men
Burns G.,Prazeres M.,1.41,2.89,Prazeres M.,PTS,00:00,25 Sep 2016,lightweight-ufc-men
Franca G.,Gillespie G.,1.72,2.12,Gillespie G.,PTS,22:30,24 Sep 2016,lightweight-ufc-men
Dunham E.,Glenn R.,1.28,3.75,Dunham E.,PTS,02:00,18 Sep 2016,lightweight-ufc-men
Wade C.,Makhachev I.,2.1,1.72,Makhachev I.,PTS,02:00,18 Sep 2016,lightweight-ufc-men
Dober D.,Gonzalez J.,1.63,2.33,Dober D.,KO,00:00,11 Sep 2016,lightweight-ufc-men
Medeiros Y.,Spencer S.,1.73,2.11,Medeiros Y.,SUBM,23:00,10 Sep 2016,lightweight-ufc-men
Hein N.,Bang T. H.,1.31,3.56,Hein N.,PTS,19:00,03 Sep 2016,lightweight-ufc-men
Lauzon J.,Miller J.,1.68,2.22,Miller J.,PTS,00:00,28 Aug 2016,lightweight-ufc-men
Campbell S.,Silva F.,1.66,2.23,Silva F.,TKO,22:00,27 Aug 2016,lightweight-ufc-men
Laprise C.,Gouti T.,1.31,3.4,Laprise C.,TKO,21:00,27 Aug 2016,lightweight-ufc-men
Teymur D.,Novelli J.,1.72,2.12,Teymur D.,TKO,00:00,07 Aug 2016,lightweight-ufc-men
Arzamendia C.,Brown D.,1.97,1.83,Brown D.,KO,23:00,30 Jul 2016,lightweight-ufc-men
Barboza E.,Melendez G.,1.44,2.86,Barboza E.,PTS,00:00,24 Jul 2016,lightweight-ufc-men
Prazeres M.,Cottrell J.,1.42,2.87,Prazeres M.,PTS,22:00,23 Jul 2016,lightweight-ufc-men
Ferguson T.,Chiesa M.,,,canc.,canc.,01:00,14 Jul 2016,lightweight-ufc-men
Holtzman S.,Pfister C.,1.36,3.19,Holtzman S.,PTS,23:00,13 Jul 2016,lightweight-ufc-men
Northcutt S.,Marin E.,1.21,4.53,Northcutt S.,PTS,00:00,10 Jul 2016,lightweight-ufc-men
Gomi T.,Miller J.,3.29,1.34,Miller J.,TKO,22:30,09 Jul 2016,lightweight-ufc-men
Brooks W.,Pearson R.,1.27,3.94,Brooks W.,PTS,02:00,09 Jul 2016,lightweight-ufc-men
Matthews J.,Lee K.,1.64,2.3,Lee K.,KO,00:00,09 Jul 2016,lightweight-ufc-men
Dos Anjos R.,Alvarez E.,1.3,3.59,Alvarez E.,KO,02:00,08 Jul 2016,lightweight-ufc-men
Burns G.,Sajewski L.,1.37,3.15,Burns G.,SUBM,22:30,07 Jul 2016,lightweight-ufc-men
Hooker D.,Diakiese M.,2.53,1.52,Hooker D.,SUBM,03:00,31 Dec 2017,lightweight-ufc-men
Makdessi J.,Trujillo A.,2.42,1.55,Makdessi J.,PTS,22:00,16 Dec 2017,lightweight-ufc-men
Holtzman S.,Horcher D.,1.73,2.1,Holtzman S.,PTS,03:00,10 Dec 2017,lightweight-ufc-men
Gruetzemacher C.,Ramos D.,4.06,1.23,Ramos D.,SUBM,23:30,09 Dec 2017,lightweight-ufc-men
Alvarez E.,Gaethje J.,2.48,1.54,Alvarez E.,KO,03:00,03 Dec 2017,lightweight-ufc-men
Teymur D.,Klose D.,1.72,2.15,Teymur D.,PTS,01:00,03 Dec 2017,lightweight-ufc-men
Lentz N.,Brooks W.,4.47,1.2,Lentz N.,SUBM,01:00,19 Nov 2017,lightweight-ufc-men
Lauzon J.,Guida C.,1.99,1.81,Guida C.,TKO,03:00,12 Nov 2017,lightweight-ufc-men
Northcutt S.,Quinones M.,1.53,2.53,Northcutt S.,PTS,01:00,12 Nov 2017,lightweight-ufc-men
Vick J.,Duffy J.,2.36,1.59,Vick J.,TKO,00:00,05 Nov 2017,lightweight-ufc-men
Trinaldo F.,Miller J.,1.46,2.68,Trinaldo F.,PTS,02:00,29 Oct 2017,lightweight-ufc-men
Held M.,Haqparast N.,1.22,4.15,Held M.,PTS,15:45,21 Oct 2017,lightweight-ufc-men
Dariush B.,Dunham E.,1.42,2.81,Draw,Draw,02:00,08 Oct 2017,lightweight-ufc-men
Brooks W.,Lentz N.,1.25,3.93,canc.,canc.,00:00,08 Oct 2017,lightweight-ufc-men
Gomi T.,Kim D. H.,3.96,1.25,Kim D. H.,TKO,02:00,23 Sep 2017,lightweight-ufc-men
Gillespie G.,Gonzalez J.,1.21,4.38,Gillespie G.,SUBM,02:00,17 Sep 2017,lightweight-ufc-men
Saggo J.,Burns G.,2.24,1.65,Burns G.,KO,23:30,16 Sep 2017,lightweight-ufc-men
Clarke M.,White A.,2.72,1.45,White A.,TKO,22:30,09 Sep 2017,lightweight-ufc-men
Gouti T.,Holbrook A.,2.44,1.56,Gouti T.,TKO,15:30,02 Sep 2017,lightweight-ufc-men
Prazeres M.,Burnell M.,1.28,3.75,Prazeres M.,SUBM,15:30,02 Sep 2017,lightweight-ufc-men
Bravo M.,Bandenay H.,1.32,3.46,Bandenay H.,KO,02:00,06 Aug 2017,lightweight-ufc-men
Herrera A.,Rinaldi J.,2.78,1.46,Rinaldi J.,SUBM,23:00,05 Aug 2017,lightweight-ufc-men
Burkman J.,Dober D.,3.47,1.31,Dober D.,KO,22:30,29 Jul 2017,lightweight-ufc-men
Wade C.,Perez F.,1.31,3.58,Wade C.,PTS,20:00,22 Jul 2017,lightweight-ufc-men
Ray S.,Felder P.,1.55,2.51,Felder P.,KO,19:00,16 Jul 2017,lightweight-ufc-men
Pettis A.,Miller J.,1.44,2.88,Pettis A.,PTS,02:00,09 Jul 2017,lightweight-ufc-men
Diakiese M.,Klose D.,1.4,2.98,Klose D.,PTS,01:00,08 Jul 2017,lightweight-ufc-men
Chiesa M.,Lee K.,2.06,1.78,Lee K.,SUBM,01:00,26 Jun 2017,lightweight-ufc-men
Guida C.,Koch E.,3.79,1.28,Guida C.,PTS,23:00,25 Jun 2017,lightweight-ufc-men
Martin A.,Case J.,1.77,2.09,Martin A.,PTS,21:30,25 Jun 2017,lightweight-ufc-men
Gomi T.,Tuck J.,3.56,1.3,Tuck J.,SUBM,11:30,17 Jun 2017,lightweight-ufc-men
Hooker D.,Pearson R.,1.67,2.23,Hooker D.,KO,02:00,11 Jun 2017,lightweight-ufc-men
Kim D. H.,Gouti T.,1.8,2.0,canc.,canc.,23:00,10 Jun 2017,lightweight-ufc-men
Madadi R.,Silva J.,2.41,1.58,Silva J.,PTS,15:00,28 May 2017,lightweight-ufc-men
Alvarez E.,Poirier D.,2.04,1.8,Draw,Draw,00:00,14 May 2017,lightweight-ufc-men
Hooker D.,Diakiese M.,2.53,1.52,Hooker D.,SUBM,03:00,31 Dec 2017,lightweight-ufc-men
Makdessi J.,Trujillo A.,2.42,1.55,Makdessi J.,PTS,22:00,16 Dec 2017,lightweight-ufc-men
Holtzman S.,Horcher D.,1.73,2.1,Holtzman S.,PTS,03:00,10 Dec 2017,lightweight-ufc-men
Gruetzemacher C.,Ramos D.,4.06,1.23,Ramos D.,SUBM,23:30,09 Dec 2017,lightweight-ufc-men
Alvarez E.,Gaethje J.,2.48,1.54,Alvarez E.,KO,03:00,03 Dec 2017,lightweight-ufc-men
Teymur D.,Klose D.,1.72,2.15,Teymur D.,PTS,01:00,03 Dec 2017,lightweight-ufc-men
Lentz N.,Brooks W.,4.47,1.2,Lentz N.,SUBM,01:00,19 Nov 2017,lightweight-ufc-men
Lauzon J.,Guida C.,1.99,1.81,Guida C.,TKO,03:00,12 Nov 2017,lightweight-ufc-men
Northcutt S.,Quinones M.,1.53,2.53,Northcutt S.,PTS,01:00,12 Nov 2017,lightweight-ufc-men
Vick J.,Duffy J.,2.36,1.59,Vick J.,TKO,00:00,05 Nov 2017,lightweight-ufc-men
Trinaldo F.,Miller J.,1.46,2.68,Trinaldo F.,PTS,02:00,29 Oct 2017,lightweight-ufc-men
Held M.,Haqparast N.,1.22,4.15,Held M.,PTS,15:45,21 Oct 2017,lightweight-ufc-men
Dariush B.,Dunham E.,1.42,2.81,Draw,Draw,02:00,08 Oct 2017,lightweight-ufc-men
Brooks W.,Lentz N.,1.25,3.93,canc.,canc.,00:00,08 Oct 2017,lightweight-ufc-men
Gomi T.,Kim D. H.,3.96,1.25,Kim D. H.,TKO,02:00,23 Sep 2017,lightweight-ufc-men
Gillespie G.,Gonzalez J.,1.21,4.38,Gillespie G.,SUBM,02:00,17 Sep 2017,lightweight-ufc-men
Saggo J.,Burns G.,2.24,1.65,Burns G.,KO,23:30,16 Sep 2017,lightweight-ufc-men
Clarke M.,White A.,2.72,1.45,White A.,TKO,22:30,09 Sep 2017,lightweight-ufc-men
Gouti T.,Holbrook A.,2.44,1.56,Gouti T.,TKO,15:30,02 Sep 2017,lightweight-ufc-men
Prazeres M.,Burnell M.,1.28,3.75,Prazeres M.,SUBM,15:30,02 Sep 2017,lightweight-ufc-men
Bravo M.,Bandenay H.,1.32,3.46,Bandenay H.,KO,02:00,06 Aug 2017,lightweight-ufc-men
Herrera A.,Rinaldi J.,2.78,1.46,Rinaldi J.,SUBM,23:00,05 Aug 2017,lightweight-ufc-men
Burkman J.,Dober D.,3.47,1.31,Dober D.,KO,22:30,29 Jul 2017,lightweight-ufc-men
Wade C.,Perez F.,1.31,3.58,Wade C.,PTS,20:00,22 Jul 2017,lightweight-ufc-men
Ray S.,Felder P.,1.55,2.51,Felder P.,KO,19:00,16 Jul 2017,lightweight-ufc-men
Pettis A.,Miller J.,1.44,2.88,Pettis A.,PTS,02:00,09 Jul 2017,lightweight-ufc-men
Diakiese M.,Klose D.,1.4,2.98,Klose D.,PTS,01:00,08 Jul 2017,lightweight-ufc-men
Chiesa M.,Lee K.,2.06,1.78,Lee K.,SUBM,01:00,26 Jun 2017,lightweight-ufc-men
Guida C.,Koch E.,3.79,1.28,Guida C.,PTS,23:00,25 Jun 2017,lightweight-ufc-men
Martin A.,Case J.,1.77,2.09,Martin A.,PTS,21:30,25 Jun 2017,lightweight-ufc-men
Gomi T.,Tuck J.,3.56,1.3,Tuck J.,SUBM,11:30,17 Jun 2017,lightweight-ufc-men
Hooker D.,Pearson R.,1.67,2.23,Hooker D.,KO,02:00,11 Jun 2017,lightweight-ufc-men
Kim D. H.,Gouti T.,1.8,2.0,canc.,canc.,23:00,10 Jun 2017,lightweight-ufc-men
Madadi R.,Silva J.,2.41,1.58,Silva J.,PTS,15:00,28 May 2017,lightweight-ufc-men
Alvarez E.,Poirier D.,2.04,1.8,Draw,Draw,00:00,14 May 2017,lightweight-ufc-men
Penn BJ,Hall R.,4.42,1.21,Hall R.,SUBM,01:00,30 Dec 2018,lightweight-ufc-men
Lee K.,Iaquinta A.,1.3,3.56,Iaquinta A.,PTS,02:30,16 Dec 2018,lightweight-ufc-men
Miller J.,Oliveira C.,3.39,1.32,Oliveira C.,SUBM,01:00,16 Dec 2018,lightweight-ufc-men
Green B.,Klose D.,3.01,1.38,Klose D.,PTS,23:30,15 Dec 2018,lightweight-ufc-men
Aubin-Mercier O.,Burns G.,1.75,2.09,Burns G.,PTS,02:00,09 Dec 2018,lightweight-ufc-men
Hirota M.,Giagos C.,,,PTS,PTS,01:30,02 Dec 2018,lightweight-ufc-men
Ismagulov D.,Gorgees A.,1.18,4.78,Ismagulov D.,PTS,00:00,02 Dec 2018,lightweight-ufc-men
Roberts R.,Horcher D.,1.31,3.47,Roberts R.,SUBM,00:30,01 Dec 2018,lightweight-ufc-men
Powell D.,Pinedo J.,2.75,1.47,Pinedo J.,PTS,00:30,18 Nov 2018,lightweight-ufc-men
Dariush B.,Moises T.,1.63,2.31,Dariush B.,PTS,04:00,11 Nov 2018,lightweight-ufc-men
Ramos D.,Gunther J.,1.1,7.17,Ramos D.,SUBM,01:30,11 Nov 2018,lightweight-ufc-men
Frevola M.,Vannata L.,3.09,1.39,Draw,Draw,23:45,03 Nov 2018,lightweight-ufc-men
Gouti T.,Haqparast N.,6.32,1.13,Haqparast N.,PTS,01:00,28 Oct 2018,lightweight-ufc-men
Edwards T.,Madge D.,1.22,4.42,Madge D.,KO,22:30,27 Oct 2018,lightweight-ufc-men
Nurmagomedov K.,McGregor C.,1.53,2.66,Nurmagomedov K.,SUBM,04:30,07 Oct 2018,lightweight-ufc-men
Holtzman S.,Patrick A.,3.39,1.33,Holtzman S.,KO,00:00,07 Oct 2018,lightweight-ufc-men
Maynard G.,Lentz N.,2.88,1.43,Lentz N.,TKO,23:00,06 Oct 2018,lightweight-ufc-men
Oliveira C.,Giagos C.,1.23,4.27,Oliveira C.,SUBM,02:00,23 Sep 2018,lightweight-ufc-men
Khabilov R.,Johnson K.,1.14,6.19,Khabilov R.,PTS,16:30,15 Sep 2018,lightweight-ufc-men
Miller J.,White A.,2.47,1.58,Miller J.,SUBM,23:30,08 Sep 2018,lightweight-ufc-men
Gaethje J.,Vick J.,2.24,1.69,Gaethje J.,KO,04:30,26 Aug 2018,lightweight-ufc-men
Dober D.,Tuck J.,1.43,2.95,Dober D.,PTS,23:00,25 Aug 2018,lightweight-ufc-men
Alvarez E.,Poirier D.,2.45,1.57,Poirier D.,TKO,01:30,29 Jul 2018,lightweight-ufc-men
Johnson K.,Makhachev I.,5.32,1.17,Makhachev I.,SUBM,22:30,28 Jul 2018,lightweight-ufc-men
Powell D.,Herrera A.,1.9,1.92,Powell D.,TKO,20:00,28 Jul 2018,lightweight-ufc-men
Haqparast N.,Diakiese M.,2.45,1.57,Haqparast N.,PTS,18:35,22 Jul 2018,lightweight-ufc-men
Chiesa M.,Pettis A.,1.57,2.5,Pettis A.,SUBM,02:30,08 Jul 2018,lightweight-ufc-men
Hooker D.,Burns G.,1.86,1.99,Hooker D.,KO,23:30,07 Jul 2018,lightweight-ufc-men
Pena L.,Smullen R.,1.26,4.1,Pena L.,SUBM,00:30,07 Jul 2018,lightweight-ufc-men
